fold,train_end,test_start,test_end,n_train,n_test,model_mae,persistence_mae,seasonal_naive_mae,station_hour_mean_mae
0,2026-09-05 23:05:57.501001+05:45,2026-09-06 00:05:57.501001+05:45,2026-09-06 13:25:49.831374+05:45,73610,68414,1.0737158846526629,0.7994562516444003,1.428828093099224,3.6179782897722506
1,2026-09-06 13:25:49.831374+05:45,2026-09-06 14:25:49.831374+05:45,2026-09-07 03:46:20.576112+05:45,148086,69280,1.0754251902190175,0.9243937644341801,1.5133012820512821,2.61542532717475
2,2026-09-07 03:46:20.576112+05:45,2026-09-07 04:46:20.576112+05:45,2026-09-07 17:55:52.001787+05:45,222562,68414,0.606420961030058,0.46731663109889787,0.8176064441887226,2.609722216421869
3,2026-09-07 17:55:52.001787+05:45,2026-09-07 18:55:52.001787+05:45,2026-09-08 08:05:52.505966+05:45,297038,68414,1.1729328435137554,1.0224076943315696,1.63463751438435,2.7580685239863185
