fold,train_end,test_start,test_end,n_train,n_test,model_mae,persistence_mae,seasonal_naive_mae,station_hour_mean_mae
0,2026-09-05 17:20:57.501001+00:00,2026-09-05 18:20:57.501001+00:00,2026-09-06 07:40:49.831374+00:00,73610,68414,1.046011271514508,0.7994562516444003,1.428828093099224,3.7079179005721
1,2026-09-06 07:40:49.831374+00:00,2026-09-06 08:40:49.831374+00:00,2026-09-06 22:01:20.576112+00:00,148086,69280,1.0691572953957162,0.9243937644341801,1.5133012820512821,2.6178743264049267
2,2026-09-06 22:01:20.576112+00:00,2026-09-06 23:01:20.576112+00:00,2026-09-07 12:10:52.001787+00:00,222562,68414,0.6045337314102747,0.46731663109889787,0.8176064441887226,2.612870527120535
3,2026-09-07 12:10:52.001787+00:00,2026-09-07 13:10:52.001787+00:00,2026-09-08 02:20:52.505966+00:00,297038,68414,1.1725144330258483,1.0224076943315696,1.63463751438435,2.756751785696885
